# LOVE_NUMBERS  Format of 2005.01.10
# degree h                 l                 k
#
     0  0.0000000000D+00  0.0000000000D+00  0.0000000000D+00
     1 -0.2858777580D+00  0.1039182063D+00  0.0000000000D+00
     2 -0.9915810331D+00  0.2353293958D-01 -0.3054020195D+00
     3 -0.1050767745D+01  0.7014846821D-01 -0.1960294041D+00
     4 -0.1053393012D+01  0.5888944962D-01 -0.1336652689D+00
     5 -0.1086317605D+01  0.4635490492D-01 -0.1047066267D+00
     6 -0.1143860336D+01  0.3875790076D-01 -0.9033564429D-01
     7 -0.1212408459D+01  0.3435761766D-01 -0.8206984804D-01
     8 -0.1283943275D+01  0.3162521937D-01 -0.7655494644D-01
     9 -0.1354734845D+01  0.2976799724D-01 -0.7243844815D-01
    10 -0.1423282851D+01  0.2841217497D-01 -0.6913401466D-01
    11 -0.1489094554D+01  0.2737604005D-01 -0.6635869819D-01
    12 -0.1552074997D+01  0.2656100083D-01 -0.6395689877D-01
    13 -0.1612273740D+01  0.2590599387D-01 -0.6183296641D-01
    14 -0.1669763369D+01  0.2536854685D-01 -0.5992172201D-01
    15 -0.1724635488D+01  0.2491746046D-01 -0.5817772516D-01
    16 -0.1776963521D+01  0.2452895864D-01 -0.5656704205D-01
    17 -0.1826825601D+01  0.2418496902D-01 -0.5506474110D-01
    18 -0.1874298467D+01  0.2387191421D-01 -0.5365205058D-01
    19 -0.1919461416D+01  0.2357965299D-01 -0.5231479422D-01
    20 -0.1962393632D+01  0.2330062776D-01 -0.5104204279D-01
    21 -0.2003182253D+01  0.2302957552D-01 -0.4982562670D-01
    22 -0.2041915786D+01  0.2276274561D-01 -0.4865919131D-01
    23 -0.2078680486D+01  0.2249751069D-01 -0.4753764652D-01
    24 -0.2113573061D+01  0.2223241049D-01 -0.4645728556D-01
    25 -0.2146680270D+01  0.2196635908D-01 -0.4541483359D-01
    26 -0.2178105661D+01  0.2169923707D-01 -0.4440818528D-01
    27 -0.2207927152D+01  0.2143062311D-01 -0.4343487603D-01
    28 -0.2236242846D+01  0.2116091000D-01 -0.4249347823D-01
    29 -0.2263132641D+01  0.2089023887D-01 -0.4158232061D-01
    30 -0.2288687940D+01  0.2061922034D-01 -0.4070034557D-01
    31 -0.2312991757D+01  0.2034837121D-01 -0.3984645832D-01
    32 -0.2336112443D+01  0.2007795245D-01 -0.3901937759D-01
    33 -0.2358128831D+01  0.1980857769D-01 -0.3821827509D-01
    34 -0.2379107893D+01  0.1954063723D-01 -0.3744217649D-01
    35 -0.2399120761D+01  0.1927467242D-01 -0.3669034206D-01
    36 -0.2418226351D+01  0.1901099500D-01 -0.3596186474D-01
    37 -0.2436482905D+01  0.1874994579D-01 -0.3525594412D-01
    38 -0.2453948379D+01  0.1849189587D-01 -0.3457187576D-01
    39 -0.2470670195D+01  0.1823702146D-01 -0.3390882631D-01
    40 -0.2486697757D+01  0.1798557582D-01 -0.3326609909D-01
    41 -0.2502076334D+01  0.1773775332D-01 -0.3264299923D-01
    42 -0.2516847401D+01  0.1749369843D-01 -0.3203883174D-01
    43 -0.2531050008D+01  0.1725353288D-01 -0.3145293280D-01
    44 -0.2544719530D+01  0.1701732965D-01 -0.3088463896D-01
    45 -0.2557890739D+01  0.1678517515D-01 -0.3033334191D-01
    46 -0.2570594319D+01  0.1655709852D-01 -0.2979842108D-01
    47 -0.2582859779D+01  0.1633312984D-01 -0.2927929373D-01
    48 -0.2594714216D+01  0.1611327332D-01 -0.2877539004D-01
    49 -0.2606182782D+01  0.1589751831D-01 -0.2828615868D-01
    50 -0.2617289738D+01  0.1568585677D-01 -0.2781108192D-01
    51 -0.2628056023D+01  0.1547823922D-01 -0.2734963353D-01
    52 -0.2638502978D+01  0.1527464081D-01 -0.2690133637D-01
    53 -0.2648649164D+01  0.1507500454D-01 -0.2646570945D-01
    54 -0.2658512061D+01  0.1487927089D-01 -0.2604229418D-01
    55 -0.2668109142D+01  0.1468739551D-01 -0.2563066630D-01
    56 -0.2677455130D+01  0.1449930171D-01 -0.2523039452D-01
    57 -0.2686564655D+01  0.1431492499D-01 -0.2484107774D-01
    58 -0.2695451439D+01  0.1413419921D-01 -0.2446233127D-01
    59 -0.2704127764D+01  0.1395704694D-01 -0.2409377795D-01
    60 -0.2712605707D+01  0.1378339969D-01 -0.2373506405D-01
    61 -0.2720896238D+01  0.1361318186D-01 -0.2338584530D-01
    62 -0.2729009765D+01  0.1344631998D-01 -0.2304579309D-01
    63 -0.2736955903D+01  0.1328273833D-01 -0.2271459030D-01
    64 -0.2744743969D+01  0.1312236618D-01 -0.2239193633D-01
    65 -0.2752382423D+01  0.1296512857D-01 -0.2207753919D-01
    66 -0.2759879282D+01  0.1281095243D-01 -0.2177111937D-01
    67 -0.2767242102D+01  0.1265976613D-01 -0.2147240908D-01
    68 -0.2774478021D+01  0.1251149967D-01 -0.2118115170D-01
    69 -0.2781593811D+01  0.1236608477D-01 -0.2089710139D-01
    70 -0.2788595709D+01  0.1222345238D-01 -0.2062002059D-01
    71 -0.2795489680D+01  0.1208353620D-01 -0.2034968220D-01
    72 -0.2802281343D+01  0.1194627118D-01 -0.2008586807D-01
    73 -0.2808976028D+01  0.1181159433D-01 -0.1982836895D-01
    74 -0.2815578704D+01  0.1167944283D-01 -0.1957698319D-01
    75 -0.2822094093D+01  0.1154975603D-01 -0.1933151728D-01
    76 -0.2828526669D+01  0.1142247495D-01 -0.1909178544D-01
    77 -0.2834880683D+01  0.1129754240D-01 -0.1885760922D-01
    78 -0.2841160150D+01  0.1117490242D-01 -0.1862881706D-01
    79 -0.2847368769D+01  0.1105449914D-01 -0.1840524275D-01
    80 -0.2853510163D+01  0.1093627997D-01 -0.1818672781D-01
    81 -0.2859587939D+01  0.1082019617D-01 -0.1797312161D-01
    82 -0.2865604931D+01  0.1070619194D-01 -0.1776427277D-01
    83 -0.2871564378D+01  0.1059422101D-01 -0.1756004164D-01
    84 -0.2877469169D+01  0.1048423565D-01 -0.1736029175D-01
    85 -0.2883322045D+01  0.1037618954D-01 -0.1716489163D-01
    86 -0.2889125648D+01  0.1027003825D-01 -0.1697371498D-01
    87 -0.2894882413D+01  0.1016573732D-01 -0.1678663942D-01
    88 -0.2900594702D+01  0.1006324445D-01 -0.1660354744D-01
    89 -0.2906264743D+01  0.9962518203D-02 -0.1642432560D-01
    90 -0.2911894687D+01  0.9863518919D-02 -0.1624886478D-01
    91 -0.2917486512D+01  0.9766206829D-02 -0.1607705911D-01
    92 -0.2923042145D+01  0.9670544154D-02 -0.1590880688D-01
    93 -0.2928563403D+01  0.9576493847D-02 -0.1574400976D-01
    94 -0.2934052041D+01  0.9484020422D-02 -0.1558257306D-01
    95 -0.2939509674D+01  0.9393088348D-02 -0.1542440486D-01
    96 -0.2944937877D+01  0.9303663815D-02 -0.1526941673D-01
    97 -0.2950338132D+01  0.9215713663D-02 -0.1511752309D-01
    98 -0.2955711880D+01  0.9129206080D-02 -0.1496864146D-01
    99 -0.2961060436D+01  0.9044109286D-02 -0.1482269168D-01
   100 -0.2966385090D+01  0.8960392953D-02 -0.1467959656D-01
   101 -0.2971687056D+01  0.8878027359D-02 -0.1453928135D-01
   102 -0.2976967512D+01  0.8796983926D-02 -0.1440167387D-01
   103 -0.2982227536D+01  0.8717234166D-02 -0.1426670401D-01
   104 -0.2987468183D+01  0.8638750834D-02 -0.1413430411D-01
   105 -0.2992690446D+01  0.8561507221D-02 -0.1400440861D-01
   106 -0.2997895290D+01  0.8485477618D-02 -0.1387695416D-01
   107 -0.3003083596D+01  0.8410636429D-02 -0.1375187918D-01
   108 -0.3008256228D+01  0.8336959123D-02 -0.1362912416D-01
   109 -0.3013413998D+01  0.8264421657D-02 -0.1350863142D-01
   110 -0.3018557697D+01  0.8193000847D-02 -0.1339034516D-01
   111 -0.3023688044D+01  0.8122673654D-02 -0.1327421107D-01
   112 -0.3028805745D+01  0.8053417940D-02 -0.1316017669D-01
   113 -0.3033911465D+01  0.7985212023D-02 -0.1304819106D-01
   114 -0.3039005849D+01  0.7918034962D-02 -0.1293820488D-01
   115 -0.3044089483D+01  0.7851865965D-02 -0.1283017014D-01
   116 -0.3049162947D+01  0.7786685030D-02 -0.1272404038D-01
   117 -0.3054226779D+01  0.7722472561D-02 -0.1261977050D-01
   118 -0.3059281508D+01  0.7659209600D-02 -0.1251731678D-01
   119 -0.3064327612D+01  0.7596877360D-02 -0.1241663664D-01
   120 -0.3069365560D+01  0.7535457730D-02 -0.1231768886D-01
   121 -0.3074395793D+01  0.7474932965D-02 -0.1222043336D-01
   122 -0.3079418737D+01  0.7415285853D-02 -0.1212483127D-01
   123 -0.3084434789D+01  0.7356499475D-02 -0.1203084476D-01
   124 -0.3089444323D+01  0.7298557315D-02 -0.1193843710D-01
   125 -0.3094447698D+01  0.7241443299D-02 -0.1184757260D-01
   126 -0.3099445739D+01  0.7185146204D-02 -0.1175821983D-01
   127 -0.3104437859D+01  0.7129642332D-02 -0.1167033892D-01
   128 -0.3109424785D+01  0.7074920548D-02 -0.1158389997D-01
   129 -0.3114406817D+01  0.7020966373D-02 -0.1149887118D-01
   130 -0.3119384228D+01  0.6967765508D-02 -0.1141522155D-01
   131 -0.3124357299D+01  0.6915304295D-02 -0.1133292103D-01
   132 -0.3129326253D+01  0.6863568795D-02 -0.1125194019D-01
   133 -0.3134291331D+01  0.6812545840D-02 -0.1117225053D-01
   134 -0.3139252753D+01  0.6762222409D-02 -0.1109382428D-01
   135 -0.3144210746D+01  0.6712586050D-02 -0.1101663454D-01
   136 -0.3149165487D+01  0.6663624094D-02 -0.1094065488D-01
   137 -0.3154117170D+01  0.6615324536D-02 -0.1086585976D-01
   138 -0.3159065971D+01  0.6567675499D-02 -0.1079222424D-01
   139 -0.3164012071D+01  0.6520665630D-02 -0.1071972412D-01
   140 -0.3168955611D+01  0.6474283384D-02 -0.1064833570D-01
   141 -0.3173896746D+01  0.6428517798D-02 -0.1057803597D-01
   142 -0.3178835615D+01  0.6383358046D-02 -0.1050880250D-01
   143 -0.3183772364D+01  0.6338793732D-02 -0.1044061352D-01
   144 -0.3188707103D+01  0.6294814330D-02 -0.1037344765D-01
   145 -0.3193639953D+01  0.6251409824D-02 -0.1030728418D-01
   146 -0.3198571025D+01  0.6208570313D-02 -0.1024210288D-01
   147 -0.3203500433D+01  0.6166286280D-02 -0.1017788410D-01
   148 -0.3208428262D+01  0.6124548124D-02 -0.1011460854D-01
   149 -0.3213354609D+01  0.6083346658D-02 -0.1005225749D-01
   150 -0.3218279559D+01  0.6042672825D-02 -0.9990812687D-02
   151 -0.3223203202D+01  0.6002517899D-02 -0.9930256346D-02
   152 -0.3228125600D+01  0.5962873105D-02 -0.9870571027D-02
   153 -0.3233046832D+01  0.5923730002D-02 -0.9811739803D-02
   154 -0.3237966958D+01  0.5885080308D-02 -0.9753746115D-02
   155 -0.3242886050D+01  0.5846916012D-02 -0.9696573861D-02
   156 -0.3247804156D+01  0.5809229052D-02 -0.9640207245D-02
   157 -0.3252721331D+01  0.5772011708D-02 -0.9584630905D-02
   158 -0.3257637624D+01  0.5735256354D-02 -0.9529829829D-02
   159 -0.3262553244D+01  0.5698956790D-02 -0.9475790189D-02
   160 -0.3267467917D+01  0.5663103346D-02 -0.9422496073D-02
   161 -0.3272381835D+01  0.5627690037D-02 -0.9369934305D-02
   162 -0.3277295035D+01  0.5592709852D-02 -0.9318091242D-02
   163 -0.3282207554D+01  0.5558156029D-02 -0.9266953580D-02
   164 -0.3287119415D+01  0.5524021765D-02 -0.9216508278D-02
   165 -0.3292030647D+01  0.5490300524D-02 -0.9166742633D-02
   166 -0.3296941273D+01  0.5456985862D-02 -0.9117644217D-02
   167 -0.3301851314D+01  0.5424071432D-02 -0.9069200890D-02
   168 -0.3306760804D+01  0.5391551244D-02 -0.9021400853D-02
   169 -0.3311669742D+01  0.5359419009D-02 -0.8974232435D-02
   170 -0.3316578148D+01  0.5327668875D-02 -0.8927684326D-02
   171 -0.3321486032D+01  0.5296294993D-02 -0.8881745447D-02
   172 -0.3326393422D+01  0.5265291805D-02 -0.8836405029D-02
   173 -0.3331300520D+01  0.5234654991D-02 -0.8791653407D-02
