     n         h                l                k               nl               nk
     1  -0.28566759E+00   0.10358232E+00   0.00000000E+00   0.10358232E+00   0.00000000E+00
     2  -0.99079949E+00   0.23286695E-01  -0.30516104E+00   0.46573390E-01  -0.61032208E+00
     3  -0.10499631E+01   0.69892136E-01  -0.19585733E+00   0.20967641E+00  -0.58757199E+00
     4  -0.10526477E+01   0.58670467E-01  -0.13352284E+00   0.23468187E+00  -0.53409136E+00
     5  -0.10855918E+01   0.46165153E-01  -0.10456531E+00   0.23082577E+00  -0.52282655E+00
     6  -0.11431163E+01   0.38586926E-01  -0.90184841E-01   0.23152156E+00  -0.54110905E+00
     7  -0.12116273E+01   0.34198827E-01  -0.81906787E-01   0.23939179E+00  -0.57334751E+00
     8  -0.12831157E+01   0.31474998E-01  -0.76379141E-01   0.25179998E+00  -0.61103313E+00
     9  -0.13538554E+01   0.29624407E-01  -0.72250183E-01   0.26661966E+00  -0.65025165E+00
    10  -0.14223516E+01   0.28273961E-01  -0.68934145E-01   0.28273961E+00  -0.68934145E+00
    11  -0.14881117E+01   0.27242278E-01  -0.66147992E-01   0.29966506E+00  -0.72762791E+00
    12  -0.15510428E+01   0.26431124E-01  -0.63736253E-01   0.31717349E+00  -0.76483504E+00
    13  -0.16111895E+01   0.25779507E-01  -0.61602870E-01   0.33513359E+00  -0.80083731E+00
    14  -0.16686329E+01   0.25245139E-01  -0.59683159E-01   0.35343195E+00  -0.83556423E+00
    15  -0.17234569E+01   0.24796803E-01  -0.57931180E-01   0.37195205E+00  -0.86896770E+00
    16  -0.17757418E+01   0.24410861E-01  -0.56313294E-01   0.39057378E+00  -0.90101270E+00
    17  -0.18255646E+01   0.24069336E-01  -0.54804452E-01   0.40917871E+00  -0.93167568E+00
    18  -0.18730019E+01   0.23758645E-01  -0.53385807E-01   0.42765561E+00  -0.96094453E+00
    19  -0.19181321E+01   0.23468646E-01  -0.52043088E-01   0.44590427E+00  -0.98881867E+00
    20  -0.19610366E+01   0.23191893E-01  -0.50765423E-01   0.46383786E+00  -0.10153085E+01
    21  -0.20018000E+01   0.22923032E-01  -0.49544487E-01   0.48138367E+00  -0.10404342E+01
    22  -0.20405101E+01   0.22658321E-01  -0.48373866E-01   0.49848306E+00  -0.10642251E+01
    23  -0.20772571E+01   0.22395242E-01  -0.47248575E-01   0.51509057E+00  -0.10867172E+01
    24  -0.21121328E+01   0.22132200E-01  -0.46164708E-01   0.53117280E+00  -0.11079530E+01
    25  -0.21452296E+01   0.21868280E-01  -0.45119160E-01   0.54670700E+00  -0.11279790E+01
    26  -0.21766398E+01   0.21603063E-01  -0.44109431E-01   0.56167964E+00  -0.11468452E+01
    27  -0.22064546E+01   0.21336479E-01  -0.43133464E-01   0.57608493E+00  -0.11646035E+01
    28  -0.22347634E+01   0.21068700E-01  -0.42189540E-01   0.58992360E+00  -0.11813071E+01
    29  -0.22616531E+01   0.20800053E-01  -0.41276184E-01   0.60320154E+00  -0.11970093E+01
    30  -0.22872080E+01   0.20530962E-01  -0.40392105E-01   0.61592886E+00  -0.12117631E+01
    31  -0.23115088E+01   0.20261897E-01  -0.39536148E-01   0.62811881E+00  -0.12256206E+01
    32  -0.23346328E+01   0.19993346E-01  -0.38707260E-01   0.63978707E+00  -0.12386323E+01
    33  -0.23566536E+01   0.19725790E-01  -0.37904463E-01   0.65095107E+00  -0.12508473E+01
    34  -0.23776409E+01   0.19459686E-01  -0.37126837E-01   0.66162932E+00  -0.12623125E+01
    35  -0.23976605E+01   0.19195459E-01  -0.36373510E-01   0.67184107E+00  -0.12730728E+01
    36  -0.24167746E+01   0.18933494E-01  -0.35643644E-01   0.68160578E+00  -0.12831712E+01
    37  -0.24350414E+01   0.18674136E-01  -0.34936432E-01   0.69094303E+00  -0.12926480E+01
    38  -0.24525156E+01   0.18417687E-01  -0.34251094E-01   0.69987211E+00  -0.13015416E+01
    39  -0.24692484E+01   0.18164407E-01  -0.33586873E-01   0.70841187E+00  -0.13098880E+01
    40  -0.24852876E+01   0.17914518E-01  -0.32943035E-01   0.71658072E+00  -0.13177214E+01
    41  -0.25006779E+01   0.17668203E-01  -0.32318866E-01   0.72439632E+00  -0.13250735E+01
    42  -0.25154609E+01   0.17425613E-01  -0.31713675E-01   0.73187575E+00  -0.13319743E+01
