     n         h                l                k               nl               nk
     1  -0.28288284E+00   0.10383574E+00   0.00000000E+00   0.10383574E+00   0.00000000E+00
     2  -0.98695606E+00   0.23097975E-01  -0.30572280E+00   0.46195950E-01  -0.61144560E+00
     3  -0.10440967E+01   0.69724204E-01  -0.19631219E+00   0.20917261E+00  -0.58893657E+00
     4  -0.10445795E+01   0.58511963E-01  -0.13388808E+00   0.23404785E+00  -0.53555232E+00
     5  -0.10753454E+01   0.45997052E-01  -0.10489182E+00   0.22998526E+00  -0.52445910E+00
     6  -0.11307419E+01   0.38397843E-01  -0.90502785E-01   0.23038706E+00  -0.54301671E+00
     7  -0.11971613E+01   0.33983900E-01  -0.82230448E-01   0.23788730E+00  -0.57561314E+00
     8  -0.12665800E+01   0.31232857E-01  -0.76714765E-01   0.24986286E+00  -0.61371812E+00
     9  -0.13352637E+01   0.29355315E-01  -0.72600364E-01   0.26419783E+00  -0.65340328E+00
    10  -0.14017138E+01   0.27978885E-01  -0.69299886E-01   0.27978885E+00  -0.69299886E+00
    11  -0.14654363E+01   0.26922460E-01  -0.66529591E-01   0.29614706E+00  -0.73182550E+00
    12  -0.15263382E+01   0.26087908E-01  -0.64133677E-01   0.31305490E+00  -0.76960412E+00
    13  -0.15844644E+01   0.25414271E-01  -0.62015900E-01   0.33038552E+00  -0.80620670E+00
    14  -0.16398959E+01   0.24859270E-01  -0.60111456E-01   0.34802978E+00  -0.84156038E+00
    15  -0.16927169E+01   0.24391685E-01  -0.58374313E-01   0.36587527E+00  -0.87561469E+00
    16  -0.17430075E+01   0.23987870E-01  -0.56770760E-01   0.38380592E+00  -0.90833216E+00
    17  -0.17908445E+01   0.23629831E-01  -0.55275691E-01   0.40170713E+00  -0.93968675E+00
    18  -0.18363041E+01   0.23303962E-01  -0.53870219E-01   0.41947132E+00  -0.96966394E+00
    19  -0.18794644E+01   0.23000090E-01  -0.52540039E-01   0.43700171E+00  -0.99826074E+00
    20  -0.19204064E+01   0.22710733E-01  -0.51274262E-01   0.45421466E+00  -0.10254852E+01
    21  -0.19592143E+01   0.22430495E-01  -0.50064554E-01   0.47104040E+00  -0.10513556E+01
    22  -0.19959755E+01   0.22155585E-01  -0.48904497E-01   0.48742287E+00  -0.10758989E+01
    23  -0.20307798E+01   0.21883437E-01  -0.47789116E-01   0.50331905E+00  -0.10991497E+01
    24  -0.20637186E+01   0.21612401E-01  -0.46714514E-01   0.51869762E+00  -0.11211483E+01
    25  -0.20948840E+01   0.21341509E-01  -0.45677604E-01   0.53353773E+00  -0.11419401E+01
    26  -0.21243680E+01   0.21070285E-01  -0.44675903E-01   0.54782741E+00  -0.11615735E+01
    27  -0.21522615E+01   0.20798605E-01  -0.43707378E-01   0.56156234E+00  -0.11800992E+01
    28  -0.21786538E+01   0.20526584E-01  -0.42770333E-01   0.57474435E+00  -0.11975693E+01
    29  -0.22036314E+01   0.20254499E-01  -0.41863319E-01   0.58738047E+00  -0.12140363E+01
    30  -0.22272785E+01   0.19982719E-01  -0.40985068E-01   0.59948157E+00  -0.12295520E+01
    31  -0.22496756E+01   0.19711666E-01  -0.40134453E-01   0.61106165E+00  -0.12441680E+01
    32  -0.22708998E+01   0.19441780E-01  -0.39310444E-01   0.62213696E+00  -0.12579342E+01
    33  -0.22910246E+01   0.19173495E-01  -0.38512089E-01   0.63272533E+00  -0.12708989E+01
    34  -0.23101196E+01   0.18907227E-01  -0.37738491E-01   0.64284572E+00  -0.12831087E+01
    35  -0.23282505E+01   0.18643358E-01  -0.36988801E-01   0.65251753E+00  -0.12946080E+01
    36  -0.23454792E+01   0.18382237E-01  -0.36262203E-01   0.66176053E+00  -0.13054393E+01
    37  -0.23618640E+01   0.18124171E-01  -0.35557912E-01   0.67059433E+00  -0.13156427E+01
    38  -0.23774595E+01   0.17869429E-01  -0.34875166E-01   0.67903830E+00  -0.13252563E+01
    39  -0.23923168E+01   0.17618239E-01  -0.34213228E-01   0.68711132E+00  -0.13343159E+01
    40  -0.24064836E+01   0.17370794E-01  -0.33571381E-01   0.69483176E+00  -0.13428552E+01
    41  -0.24200044E+01   0.17127249E-01  -0.32948929E-01   0.70221721E+00  -0.13509061E+01
    42  -0.24329210E+01   0.16887729E-01  -0.32345195E-01   0.70928462E+00  -0.13584982E+01
    43  -0.24452719E+01   0.16652329E-01  -0.31759521E-01   0.71605015E+00  -0.13656594E+01
    44  -0.24570933E+01   0.16421118E-01  -0.31191271E-01   0.72252919E+00  -0.13724159E+01
    45  -0.24684187E+01   0.16194140E-01  -0.30639824E-01   0.72873630E+00  -0.13787921E+01
    46  -0.24792795E+01   0.15971420E-01  -0.30104583E-01   0.73468532E+00  -0.13848108E+01
    47  -0.24897046E+01   0.15752965E-01  -0.29584968E-01   0.74038936E+00  -0.13904935E+01
