     n         h                l                k               nl               nk
     1  -0.28571119E+00   0.10384968E+00   0.00000000E+00   0.10384968E+00   0.00000000E+00
     2  -0.99160446E+00   0.23154863E-01  -0.30568063E+00   0.46309726E-01  -0.61136126E+00
     3  -0.10506163E+01   0.69769019E-01  -0.19627607E+00   0.20930706E+00  -0.58882821E+00
     4  -0.10530027E+01   0.58542937E-01  -0.13386521E+00   0.23417175E+00  -0.53546084E+00
     5  -0.10856787E+01   0.46021891E-01  -0.10487821E+00   0.23010946E+00  -0.52439105E+00
     6  -0.11429804E+01   0.38421331E-01  -0.90494272E-01   0.23052799E+00  -0.54296563E+00
     7  -0.12112988E+01   0.34008344E-01  -0.82224496E-01   0.23805841E+00  -0.57557147E+00
     8  -0.12826114E+01   0.31259353E-01  -0.76710002E-01   0.25007482E+00  -0.61368002E+00
     9  -0.13531851E+01   0.29384398E-01  -0.72596025E-01   0.26445958E+00  -0.65336422E+00
    10  -0.14215217E+01   0.28010816E-01  -0.69295498E-01   0.28010816E+00  -0.69295498E+00
    11  -0.14871277E+01   0.26957350E-01  -0.66524825E-01   0.29653085E+00  -0.73177307E+00
    12  -0.15499098E+01   0.26125778E-01  -0.64128282E-01   0.31350934E+00  -0.76953938E+00
    13  -0.16099130E+01   0.25455082E-01  -0.62009678E-01   0.33091607E+00  -0.80612581E+00
    14  -0.16672182E+01   0.24902940E-01  -0.60104249E-01   0.34864116E+00  -0.84145949E+00
    15  -0.17219099E+01   0.24438104E-01  -0.58365998E-01   0.36657156E+00  -0.87548997E+00
    16  -0.17740679E+01   0.24036909E-01  -0.56761244E-01   0.38459054E+00  -0.90817990E+00
    17  -0.18237693E+01   0.23681348E-01  -0.55264909E-01   0.40258292E+00  -0.93950345E+00
    18  -0.18710905E+01   0.23357807E-01  -0.53858129E-01   0.42044053E+00  -0.96944632E+00
    19  -0.19161097E+01   0.23056112E-01  -0.52526619E-01   0.43806613E+00  -0.99800576E+00
    20  -0.19589081E+01   0.22768778E-01  -0.51259508E-01   0.45537556E+00  -0.10251902E+01
    21  -0.19995702E+01   0.22490411E-01  -0.50048474E-01   0.47229863E+00  -0.10510180E+01
    22  -0.20381836E+01   0.22217227E-01  -0.48887112E-01   0.48877899E+00  -0.10755165E+01
    23  -0.20748382E+01   0.21946662E-01  -0.47770456E-01   0.50477323E+00  -0.10987205E+01
    24  -0.21096256E+01   0.21677074E-01  -0.46694615E-01   0.52024978E+00  -0.11206708E+01
    25  -0.21426382E+01   0.21407500E-01  -0.45656508E-01   0.53518750E+00  -0.11414127E+01
    26  -0.21739682E+01   0.21137472E-01  -0.44653657E-01   0.54957427E+00  -0.11609951E+01
    27  -0.22037064E+01   0.20866871E-01  -0.43684031E-01   0.56340552E+00  -0.11794688E+01
    28  -0.22319424E+01   0.20595822E-01  -0.42745934E-01   0.57668302E+00  -0.11968862E+01
    29  -0.22587630E+01   0.20324605E-01  -0.41837919E-01   0.58941354E+00  -0.12132997E+01
    30  -0.22842521E+01   0.20053598E-01  -0.40958719E-01   0.60160794E+00  -0.12287616E+01
    31  -0.23084907E+01   0.19783230E-01  -0.40107204E-01   0.61328013E+00  -0.12433233E+01
    32  -0.23315558E+01   0.19513945E-01  -0.39282346E-01   0.62444624E+00  -0.12570351E+01
    33  -0.23535210E+01   0.19246185E-01  -0.38483190E-01   0.63512410E+00  -0.12699453E+01
    34  -0.23744559E+01   0.18980369E-01  -0.37708839E-01   0.64533255E+00  -0.12821005E+01
    35  -0.23944265E+01   0.18716886E-01  -0.36958442E-01   0.65509101E+00  -0.12935455E+01
    36  -0.24134945E+01   0.18456088E-01  -0.36231180E-01   0.66441917E+00  -0.13043225E+01
    37  -0.24317185E+01   0.18198289E-01  -0.35526268E-01   0.67333669E+00  -0.13144719E+01
    38  -0.24491529E+01   0.17943760E-01  -0.34842941E-01   0.68186288E+00  -0.13240318E+01
    39  -0.24658489E+01   0.17692734E-01  -0.34180461E-01   0.69001663E+00  -0.13330380E+01
    40  -0.24818542E+01   0.17445407E-01  -0.33538110E-01   0.69781628E+00  -0.13415244E+01
    41  -0.24972136E+01   0.17201938E-01  -0.32915189E-01   0.70527946E+00  -0.13495227E+01
